0	0	12300	48382	58061	36178	53653	88321	64893	40200	29492	90029	63120	56548	91109	97255	5711	47572	24568	67657	31235	99395	93785	37817	30666	9615	75875	3794	86150	63182	94775	38890	75611	10754	80811	24451	67400	23527	69950	52312	50514	87058	3775	84087	88268	42314	27429	50776	54625	82007	66535	84730	23175	46527	57403	12080	14992	15351	85674	96606	53891	49464	12016	29414	72815	30788	1751	33406	60715	58270	80762	28958	12404	38256	20544	10464	6753	89470	23732	70807	36569	88524	49994	51245	73251	96797	14507	7967	57358	5183	58109	93240	80207	
0	1	13292	46370	82143	51310	48333	98045	62656	31194	38319	23605	47147	10946	16338	37706	23221	61678	70812	79113	72843	96619	59615	66400	79888	23084	46960	35976	87419	66207	56302	74282	21344	70472	95372	6855	73266	61359	39044	5025	89753	3221	8157	44229	71219	20360	6551	59447	56261	79572	19124	31060	70260	84784	94321	22337	37387	68848	13877	36728	83756	22917	23049	52507	22464	14041	97007	38653	82687	90794	19150	66762	8850	25139	71829	37165	34438	40924	29831	89176	27481	63737	18423	87461	95314	64960	43189	38354	98403	8775	44965	35871	14647	
0	2	80583	91082	35830	78445	64553	32330	80593	95622	71229	74975	31117	19794	46860	85649	9846	75644	98960	8164	59354	52945	93254	22479	23239	9998	6115	17144	95574	63923	25991	87751	77026	82024	68853	7402	77220	8924	25196	25858	85009	50084	93332	67470	77654	61705	30915	33217	87426	96403	21399	1664	1140	14677	93430	2643	58892	24513	7352	73211	89699	22204	7252	90460	10688	72525	80925	62249	327	89959	9939	52672	67990	35491	50969	45470	89618	4815	26896	74453	62739	91395	45156	17491	20121	19526	1809	46934	86997	40311	23237	76803	76796	
0	3	26920	64074	21973	77474	61346	89925	50258	60789	45198	1832	59072	79133	27024	67480	14853	25342	31494	56068	87061	45276	25075	31136	91619	50244	38086	86505	19130	49633	95270	13733	63931	98133	64104	78824	83519	64947	22997	73481	88732	59054	78225	69157	27402	87071	56475	68275	3875	89568	45706	36675	80058	10995	56334	55085	68638	64228	8908	99980	91530	13947	68338	8725	41292	63186	69099	30470	21129	77253	90117	22348	40641	28476	45655	46210	56779	76875	49172	65914	19732	32492	77251	74775	16186	7596	50497	37471	57115	41655	73166	9820	95040	
0	4	16016	16712	55851	98986	2859	50154	61365	19044	12393	68863	6236	61232	84443	3525	56332	22831	39688	16749	20075	11064	58039	50924	22085	62685	1128	34191	74440	21381	81401	70011	86099	64634	53940	55343	99963	87527	45518	87421	90678	11083	89629	14325	64448	48838	16553	92298	88206	56550	35839	46551	27510	75764	81932	63087	97188	63408	77775	48458	96087	29549	81935	59981	89294	75185	81460	22764	95522	68955	83881	33226	56814	6998	50131	70889	36305	58783	19717	40110	83820	41807	56855	66727	34627	41727	39331	94607	5937	21156	33827	69260	94925	
0	5	98798	58371	89825	87490	36699	20460	20522	26842	4548	34567	84804	64383	68980	57016	45902	67052	95759	53652	95919	37048	29509	3840	31053	56308	55380	34143	66287	70775	50552	44855	48174	2059	71020	71904	3077	53339	63235	61817	87908	53471	85932	58090	11878	73473	22482	29399	78598	72377	33236	11257	38035	27978	87825	76709	14710	43688	40493	67661	58331	58131	77613	3192	69745	78792	60610	23603	47271	14108	37086	79783	51257	36672	75345	74747	91952	54905	91489	8559	88724	90594	30951	713	64735	51846	60064	78976	37518	42675	73705	97353	12376	
0	6	32155	18714	12734	77926	61407	96640	73100	22849	20694	65153	96213	76271	65161	19530	60341	74867	20706	78033	34812	13864	4076	4692	11823	67564	32502	31530	95673	27842	62912	79916	23	11631	2034	18805	67063	47574	21581	69330	56094	72546	69093	16935	77969	37035	12133	28013	90796	8466	33524	49022	87997	91766	71956	58934	37777	81691	42316	46700	59390	33205	52044	92078	56758	98450	56007	97599	24481	42837	83071	50372	13273	70881	48293	71284	38252	97254	89784	93958	30653	60888	93164	46857	57230	40703	77422	58803	60102	30770	9587	97262	81133	
0	7	46221	81740	47324	22163	93163	35877	68235	7906	73404	43626	79423	86925	17471	711	32604	28381	88836	85659	39383	44004	55055	46927	80478	88647	55188	65277	5211	36783	71695	82777	27575	79545	98373	46111	42073	51146	14697	40981	18769	36952	45811	39963	79187	20857	33734	53920	24186	21662	76442	13218	43514	80119	94985	386	34768	17881	87477	7827	14584	13391	45127	85005	50681	96577	62365	80425	89849	24330	94463	94485	12919	46017	29149	94397	99358	44698	50412	71071	30388	75723	9047	79152	84632	62405	24197	87178	14981	4863	54606	71621	51238	
0	8	16826	76340	79457	64624	89867	35095	4376	19198	2112	4416	29749	86338	13879	21031	27767	69405	84368	89387	82487	53182	80711	51706	37106	59862	9898	55014	44848	61193	83975	75013	27415	53433	4057	57666	91368	88712	37930	93860	51737	72691	74200	51978	39340	3453	64832	7429	30912	57323	37526	51703	82161	51784	669	49060	83064	2674	57086	36212	64047	10054	31391	8514	95974	74621	35600	94505	46659	26497	33635	69483	6723	19565	86194	91596	48580	80403	20583	82750	75107	5434	69767	79135	79494	62381	28581	12305	80782	54153	7185	63305	1750	
0	9	34007	3718	35748	75234	19532	4942	92534	32430	86464	38384	49931	23587	54402	29099	58654	10844	93656	46397	64352	47325	56910	89615	10015	63527	82006	7354	40422	3963	8125	79987	56036	92141	5465	83415	5875	14895	39616	61426	67228	79934	43831	51780	18368	57664	64003	65405	77137	90342	66491	58943	81665	65035	7732	48178	56852	410	34835	32226	76541	49552	56209	26250	8211	64187	21972	46841	25293	52253	36655	30067	99528	68257	68784	401	47638	32864	16926	60886	43860	67317	11794	48726	75847	55428	31717	93862	58072	4248	76781	65667	61671	
