0	0	12300	48382	58061	36178	53653	88321	64893	40200	29492	90029	63120	56548	91109	97255	5711	47572	24568	67657	31235	99395	93785	37817	30666	9615	75875	3794	86150	63182	94775	38890	75611	10754	80811	24451	67400	23527	69950	52312	50514	87058	3775	84087	88268	42314	27429	55014	66207	61193	62912	79916	23	11631	2034	18805	67063	47574	21581	69330	56094	72546	69093	16935	77969	37035	12133	28013	90796	8466	71219	20360	6551	59447	56261	79572	19124	72377	45706	27928	49022	87997	91766	75764	81932	94985	386	34768	14710	15351	85674	96606	53891	36212	59390	22917	49552	23049	25671	85005	50681	8211	98450	97007	56007	97599	24481	46659	26497	80762	28958	52672	2845	12919	28476	30278	48293	71284	91596	36305	89470	97254	26896	470	8559	62739	61194	60888	93164	69767	713	95314	79494	7596	14507	24197	46934	93862	37518	42675	4248	33827	35871	63305	94925	
0	1	13292	46221	41638	52090	42897	81740	47324	22163	93163	35877	75234	19532	4942	92534	32430	86464	38384	49931	23587	54402	29099	58654	10844	93656	46397	64352	15668	27490	68980	57016	45902	67052	95759	98960	53652	95919	82487	47325	55055	46927	69604	51706	37106	59862	9898	7354	40422	3963	83975	75013	27415	53433	79545	92141	50560	44953	37168	61359	39044	5025	14697	61817	85009	50084	93332	72691	45811	67470	77654	61705	30915	33217	68275	87426	77137	90342	35839	84730	23175	46527	57403	27978	65035	7732	55085	68638	37777	81691	42316	40493	67661	58331	58131	22204	7252	81935	59981	26250	89294	22427	35696	43696	62365	80425	82687	25293	52253	19150	37086	79783	12404	38256	6998	20544	29149	69568	401	91952	40924	44698	49172	70807	93958	19732	88524	49994	51245	11794	46857	20121	75847	51846	60064	78976	37471	9508	14981	40311	88033	73705	76803	65667	12376	
0	2	80583	91082	35830	46370	58371	89825	87490	36699	20460	20522	26842	4548	96640	73100	35095	4376	68235	7906	73404	43626	79423	86925	17471	711	32604	4416	29749	86338	13879	59093	21031	27767	69405	84368	78033	40649	52220	29008	80711	56910	89615	30598	27085	34691	11330	82736	8821	19237	62963	22312	87751	50160	77439	98373	55343	46111	42073	53339	51146	27102	18925	40981	90678	18769	11083	30876	74632	75154	36420	73473	16505	15063	53920	3875	89568	57323	37526	51703	13218	70260	81665	80119	93430	2643	58892	24513	7352	73211	17881	87477	36728	32226	14584	13947	68338	77613	52507	72857	69745	78792	96577	80925	21972	94505	327	89959	14108	9939	83071	33226	8850	6723	36672	71829	86194	10464	21250	50358	3965	80403	19717	89176	71071	83820	63737	75723	45156	74090	79152	16186	4653	40703	43189	28581	94607	57358	80782	41655	58109	54606	9820	67588	81133	
0	3	26920	64074	21973	77474	61346	89925	50258	60789	45198	1832	59072	79133	27024	67480	14853	25342	31494	56068	87061	45276	25075	31136	91619	50244	38086	86505	19130	49633	95270	13733	70603	31131	42789	91003	89387	34812	37048	29509	3840	31053	56308	55380	34143	66287	70775	50552	44855	48174	2059	71020	77026	82024	68853	7402	71904	3077	77220	8924	25196	22997	25858	67698	86790	51737	53471	8157	44229	14325	64448	48838	56475	33734	7429	30912	70172	43441	33236	31060	58943	1140	14677	51784	87825	669	63087	48178	56852	64228	410	57086	99980	91530	64047	29549	15211	52044	90460	72815	56758	30788	64187	69099	38653	46841	95522	58270	42837	83881	33635	69483	67990	99528	70881	50969	45470	37165	6753	38252	4815	23732	89784	74453	82750	75107	91395	5434	77251	87461	79135	34627	41727	62405	1809	31717	58803	60102	58072	21156	44965	7185	69260	80207	51238	
0	4	16016	16712	55851	98986	2859	50154	61365	19044	12393	68863	6236	61232	84443	3525	56332	22831	39688	16749	20075	11064	58039	50924	22085	62685	1128	34191	74440	21381	81401	70011	86099	74867	20706	8164	59354	52945	13864	4076	4692	11823	67564	32502	31530	95673	55188	95574	63923	56302	74282	21344	70472	95372	6855	4057	57666	73266	99963	87527	45518	63235	73481	88732	59054	78225	69157	89629	74200	39963	79187	20857	16553	92298	88206	78598	96403	21399	1664	36675	80058	27510	21218	76789	23715	76535	76709	37387	68848	13877	30428	9376	71481	83756	76541	33205	12016	29414	8725	22464	95974	74621	35600	60610	62249	90838	48199	90794	24330	94463	36655	50372	56814	45479	46017	45655	46210	56779	76875	99358	58783	29831	50412	65914	58117	88724	90594	67317	56855	17491	48726	64735	96797	62381	50497	13496	87178	86997	41462	30770	9587	76781	97353	14647	1750	
0	5	98798	16826	76340	79457	64624	89867	82143	51310	48333	98045	62656	60393	33243	41034	79328	76452	31194	22849	20694	65153	96213	19198	2112	23605	47147	10946	16338	37706	23221	61678	70812	79113	72843	96619	59615	66400	79888	23084	46960	35976	87419	80478	88647	6115	17144	5211	36783	71695	82777	27575	63931	98133	64104	78824	83519	64947	91368	88712	37930	93860	87421	89753	87908	3221	36952	85932	58090	11878	27402	87071	22482	29399	59780	24186	21662	76442	33524	46551	1737	43514	84784	94321	22337	12080	14992	97188	53730	63408	77775	48458	46700	89699	18845	13391	45127	56209	3192	10688	72525	14041	1751	33406	30470	21129	47271	77253	90117	22348	40641	94485	51257	25139	19565	50131	70889	74747	34438	48580	54905	91489	20583	40110	36569	30653	32492	46762	30951	74775	83208	57230	64960	55428	39331	7967	12305	57115	5183	4863	23237	34296	97262	76796	61671	
0	6	32155	34007	3718	35748	18714	12734	77926	61407	78445	64553	32330	80593	95622	71229	74975	31117	19794	46860	85649	9846	75644	38319	87942	40541	34567	84804	64383	76271	65161	19530	60341	28381	88836	85659	39383	44004	53182	93254	22479	23239	9998	10015	63527	82006	65277	44848	27842	25991	8125	79987	56036	64634	53940	5465	83415	5875	14895	39616	61426	67228	79934	43831	51780	18368	57664	64003	65405	51978	39340	3453	64832	50776	54625	82007	56550	66535	66491	11257	38035	82161	10995	56334	71956	58934	49060	83064	2674	43688	8908	34835	7827	96087	49464	10054	31391	8514	92078	41292	63186	75185	81460	22764	23603	60715	89849	68955	62380	32407	66762	30067	13273	35491	68257	75345	68784	94397	89618	47638	32864	16926	60886	43860	27481	30388	41807	18423	9047	66727	73251	84632	19526	41863	77422	38354	98403	5937	8775	54153	73166	93240	71621	95040	6733	
1	0	54673	50913	26534	69516	11270	12385	68267	60792	55035	58981	37788	75914	19012	43584	19263	97050	17530	64435	36707	77440	70537	12669	83077	40035	17762	90049	40016	33688	63295	25193	22512	88955	61419	44485	77164	44302	93085	77207	95296	75782	15920	12682	39704	91032	28279	84102	33578	17845	78163	47494	43032	41889	56022	34141	97113	67845	49593	11993	52440	38706	51338	8554	82069	99515	84910	26302	35745	35880	61052	87022	9591	9147	38883	32438	49431	86300	21526	41764	48662	92996	62368	40345	82862	75554	86803	5926	98995	53857	35781	94934	93232	55783	92086	48274	63454	495	4330	23312	7577	98230	30977	79798	82784	93077	69783	53691	94133	10610	6259	61529	33471	70428	42471	16661	90530	20053	5133	41288	7708	46756	32368	17049	93185	56303	74121	92694	68135	20076	27489	62621	9085	91862	22437	21584	72268	20762	60014	42839	7183	24380	74127	66590	17771	
1	1	42311	93264	78897	41192	58893	90842	66671	54003	45390	24662	46394	96721	25936	28454	75142	81509	64583	78987	63839	86716	30305	75240	56904	82609	11125	60180	67598	27599	47200	82393	45059	39046	12557	68538	66765	22488	21154	96898	77201	71775	68925	10551	63083	122	20648	83075	96547	28280	49409	69126	87509	13193	90613	88748	7090	26765	38171	32524	88723	18358	69340	1862	24497	55918	73315	27783	13822	66960	40945	69080	21549	86893	39551	38811	93873	94657	10005	27071	60097	18525	11999	28635	11048	39430	99929	26594	38122	3010	57800	85888	86970	89815	83112	51385	39711	17658	85849	83079	22453	284	19280	59544	82428	40834	66514	49559	5310	7236	69268	50995	46082	31874	41930	63262	48317	74761	21038	82677	17690	2336	92787	67374	83233	57504	73563	28759	44769	85091	9111	14489	76093	25197	70842	18644	89773	14988	15339	14914	3216	66234	42577	63771	94535	
1	2	34272	21089	47482	73746	72952	31764	10788	96323	87709	70868	8845	59462	79265	59740	15114	66568	98779	48195	89747	38068	64706	11815	60924	33165	19584	45685	86812	86498	59917	67345	26687	45346	42520	37149	59453	28835	40240	68420	92869	9276	44195	53468	23193	85836	84139	35478	62481	30196	43540	88151	79801	94000	48115	32735	91141	51569	9824	34784	8533	79483	5735	57359	17822	51223	75515	5054	99890	67606	72793	80955	51343	22148	97225	22494	89223	44362	99772	25701	32068	29774	27368	58784	93970	39171	84895	49778	1534	15685	71955	15578	96746	98343	37238	74552	82534	8196	49855	80559	73437	28781	97118	35979	73952	8812	69189	46618	34248	1398	81219	17998	62132	89396	59609	77276	29503	88781	65294	67756	51125	77988	39399	51491	71559	76509	85902	94508	35459	35461	64517	79024	64522	29808	74407	62217	86576	80266	33509	42655	61207	25550	91885	62701	90169	
